'türlich	tʰ yː DB ɐ̯ l ɪ BE ç
aach	aː AE χ
aachen	äː χ n̩
aak	aː AE k
aal	ʔ aː AE l
aalbeere	aː AE l b eː AG ʁ ə BG
aalen	aː AE l ə BG n
aalmutter	ʔ aː AE l m ʊ BD tʰ ɐ CA
aalmuttern	ʔ aː AE l m ʊ BD tʰ ɐ CA n
aare	aː AE ʀ ə BG
aasen	ʔ aː AE z n̩
aasfliege	aː AE s f l iː AI ɡ ə BG
abakus	a AD b a AD k ʊ BD s
abalienieren	a AD p ʔ a AD l i̯ AB e AF n iː AI ʁ ə BG n
abandonnieren	a AD b a AD n d ɔ BB n iː AI ʀ ə BG n
abarbeiten	ʔ a AD p ʔ a AD ʁ b a AD ɪ̯ BL ʔ n̩
abart	a AD p ʔ aː AE ʁ tʰ
abarten	a AD p ʔ aː AE ɐ̯ t n̩
abartigkeit	a AD p aː AE ɐ̯ t ɪ BE ç k a AD ɪ̯ BL t
abasie	a AD b a AD z iː AI
abbaggerung	ʔ a AD p b a AD ɡ ə BG ʀ ʊ BD ŋ
abballern	a AD p b a AD l ɐ CA n
abbau	a AD p b a AD ʊ̯ BM
abbaubar	ʔ a AD p b a AD ʊ̯ BM b aː AE ɐ̯
abbauen	ʔ a AD p b a AD ʊ̯ BM ə BG n
abbehalten	a AD p b ə BG h AA a AD l t n̩
abberufen	a AD p b ə BG ʀ uː AM f ə BG n
abbestellen	ʔ a AD b ə BG ʃ t ɛ BG l n̩
abbezahlen	ʔ a AD b ə BG t s aː AE l n̩
abbiegen	a AD p b iː AI ɡ n
abbild	a AD p b ɪ BE l t
abbilden	ʔ a AD p̚ b̥ ɪ BE l d ə BG n
abbildung	ʔ a AD p̚ b̥ ɪ BE l d ʊ BD ŋ
abbildungstechnologie	ʔ a AD p̚ b̥ ɪ BE l d ʊ BD ŋ s tʰ ɛ BG ç n o AJ l o AJ ɡ iː AI
abbitte	ʔ a AD p b ɪ BE tʰ ə BG
abbitten	ʔ a AD p b ɪ BE ʔ n̩
abblocken	ʔ a AD b l ɔ BB k ŋ
abbrechen	ʔ a AD p b ʁ ɛ BG ç ə BG n
abbremsen	ʔ a AD b ʁ ɛ BG m z n̩
abbrennen	ʔ a AD b ʁ ɛ BG n n̩
abbröckeln	ʔ a AD p b ʁ œ CD k ə BG l n
abbuchen	ʔ a AD b uː AM χ n̩
abbuchung	a AD p b uː AM x ʊ BD ŋ
abbügeln	a AD p b yː DB ɡ l̩ n
abdach	a AD p d a AD x
abdachen	a AD p d a AD x n̩
abdankung	ʔ a AD p d a AD ŋ k ʊ BD ŋ
abdecken	ʔ a AD p d ɛ BG k ə BG n
abdrehen	a AD p d r eː AG ə BG n
abdreschen	a AD p d ʁ ɛ BG ʃ n̩
abdriften	a AD p d ʀ ɪ BE f t n̩
abdruck	ʔ a AD p d ʁ ʊ BD kʰ
abdrängen	a AD p d ʁ ɛ BG ŋ ə BG n
abeisen	ɑ BH b a AD ɪ̯ BL z ə BG n
