あ	a̠ AJ
ああ	a̠ː AK
ああいう	a̠ː AK i AJ ɯ̟ᵝ
あい	a̠ AJ i AJ
あいあいがさ	a̠ AJ i AJ a̠ AJ i AJ ɡ AC a̠ AJ s AG a̠ AJ
あいいれない	a̠ AJ iː AK ɾ BB e̞ AJ n AE a̠ AJ i AJ
あいいろ	a̠ AJ iː AK ɾ BB o̞ AM
あいえき	a̠ AJ i AJ e̞ AJ kʲ AC i AJ
あいえんきえん	a̠ AJ i AJ ẽ̞ ŋʲ AI kʲ AC i AJ ẽ̞ ɴ AI
あいか	a̠ AJ i AJ k AC a̠ AJ
あいかぎ	a̠ AJ i AJ k AC a̠ AJ ɡʲ AC i AJ
あいかた	a̠ AJ i AJ k AC a̠ AJ t AH a̠ AJ
あいかわらず	a̠ AJ i AJ k AC a̠ AJ ɰᵝ a̠ AJ ɾ BB a̠ AJ z AG ɨᵝ
あいがさ	a̠ AJ i AJ ɡ AC a̠ AJ s AG a̠ AJ
あいがみ	a̠ AJ i AJ ɡ AC a̠ AJ mʲ BG i AJ
あいがめ	a̠ AJ i AJ ɡ AC a̠ AJ m AD e̞ AJ
あいがん	a̠ AJ i AJ ɡ AC ã̠ ɴ AI
あいがんどうぶつ	a̠ AJ i AJ ɡ AC ã̠ n AE d AH o̞ː AL b AF ɯ̟ᵝ t AH s AG ɨᵝ
あいき	a̠ AJ i AJ kʲ AC i AJ
あいきどう	a̠ AJ i AJ kʲ AC i AJ d AH o̞ː AL
あいきょう	a̠ AJ i AJ kʲ AC o̞ː AL
あいくち	a̠ AJ i AJ k AC ɯ̟ᵝ t AH ɕ BC i AJ
あいくるしい	a̠ AJ i AJ k AC ɯ̟ᵝ ɾ BB ɯ̟ᵝ ɕ BC iː AK
あいけん	a̠ AJ i AJ k AC ẽ̞ ɴ AI
あいこ	a̠ AJ i AJ k AC o̞ AM
あいこう	a̠ AJ i AJ k AC o̞ː AL
あいこうか	a̠ AJ i AJ k AC o̞ː AL k AC a̠ AJ
あいこく	a̠ AJ i AJ k AC o̞ AM k AC ɯ̟ᵝ
あいこくしゃ	a̠ AJ i AJ k AC o̞ AM k AC ɯ̟ᵝ ɕ BC a̠ AJ
あいこくしゅぎ	a̠ AJ i AJ k AC o̞ AM k AC ɯ̟ᵝ ɕ BC ɨᵝ ɡʲ AC i AJ
あいこっか	a̠ AJ i AJ k AC o̞ AM k̚ k AC a̠ AJ
あいことば	a̠ AJ i AJ k AC o̞ AM t AH o̞ AM b AF a̠ AJ
あいご	a̠ AJ i AJ ɡ AC o̞ AM
あいさい	a̠ AJ i AJ s AG a̠ AJ i AJ
