'bout	b AG a AK ʊ AM t AC
'cause	k AC ə AK z AH
'dswounds	d AC z AH w AI u AM n AF d AC z AH
'em	ɪ AK m AE
'emselves	ə AK m AE s AH ɛ AK l AD v BB z AH
'fraid	f BB ɹ AB e AK ɪ AK d AC
'ganst	ɡ AC æ AK n AF s AH t AC
'll	ə AK l AD
'm	ə AK m AE
'mong	m AE ʌ AK ŋ AF
'murica	m AE ɚ AK ɪ AK k AC ə AK
'n'	ə AK n AF
'nough	n AF ʌ AK f BB
'nuff	n AF ʌ AK f BB
's	ɪ AK z AH
'sblood	z AH b AG l AD ʌ AK d AC
'scuse	s AH k AC j AB uː AN z AH
'sdeath	z AH d AC ɛ AK θ AH
'sfar	s AH f BB ɑː AL ɹ AB
'swounds	z AH w AI u AM n AF d AC z AH
'tis	t AC ɪ AK z AH
'tisn't	t AC ɪ AK z AH n AF t AC
'tshall	t AC ʃ AH ə AK l AD
'tude	t AC j AB uː AN d AC
'twas	t AC w AI ɒ AM z AH
'twasn't	t AC w AI ɒ AM z AH n̩ BE t AC
'twill	t AC w AI ɪ AK l AD
'twixt	t AC w AI ɪ AK k AC s AH t AC
'ud	ə AK d AC
'ullo	ʌ AK l AD ə AK ʊ AM
'un	ʌ AK n AF
a	ə AK
a'n't	æ AK n AF t AC
aa	ɑː AL ɑː AL
aaad	e AK ɪ AK e AK ɪ AK e AK ɪ AK d AC iː AL
aaaee	e AK ɪ AK e AK ɪ AK e AK ɪ AK iː AL iː AL
aaarg	e AK ɪ AK e AK ɪ AK e AK ɪ AK ɑː AL ɹ AB d AC ʒ AH iː AL
aaav	e AK ɪ AK e AK ɪ AK e AK ɪ AK v BB iː AL
aaawesome	ɔː AN s AH ə AK m AE
aabh	e AK ɪ AK e AK ɪ AK b AG iː AL e AK ɪ AK t AC ʃ AH
aacap	e AK ɪ AK e AK ɪ AK k AC æ AK p AG
aacb	e AK ɪ AK e AK ɪ AK s AH iː AL b AG iː AL
aacbc	e AK ɪ AK e AK ɪ AK s AH iː AL b AG iː AL s AH iː AL
aacbp	e AK ɪ AK e AK ɪ AK s AH iː AL b AG iː AL p AG iː AL
aacd	e AK ɪ AK e AK ɪ AK s AH iː AL d AC iː AL
aacdp	e AK ɪ AK e AK ɪ AK s AH iː AL d AC iː AL p AG iː AL
aace	e AK ɪ AK e AK ɪ AK s AH iː AL iː AL
aach	ɑː AL k AC
aachen	ɑː AL k AC ə AK n AF
aachs	e AK ɪ AK e AK ɪ AK s AH iː AL e AK ɪ AK t AC ʃ AH ɛ AK s AH
aacjc	e AK ɪ AK e AK ɪ AK s AH iː AL d AC ʒ AH e AK ɪ AK s AH iː AL
aacl	e AK ɪ AK e AK ɪ AK s AH iː AL ɛ AK l AD
aacm	e AK ɪ AK e AK ɪ AK s AH iː AL ɛ AK m AE
aacpa	e AK ɪ AK e AK ɪ AK s AH iː AL p AG iː AL e AK ɪ AK
aacu	æ AK k AC ʊ AM
aakp	e AK ɪ AK e AK ɪ AK k AC e AK ɪ AK p AG iː AL
aalborg	ɔː AN l AD b AG ɔː AN ɹ AB
aalii	ɑː AL l AD iː AL iː AL
aalst	ɑː AL l AD s AH t AC
aam	ɔː AN m AE
aandblom	ɑː AL n AF t AC b AG l AD ɒ AM m AE
aar	ɑː AL ɹ AB
aarau	aː AL ɹ AB a AK u AM
aardvark	ɑː AL d AC v BB ɑː AL k AC
aardwolf	ɑː AL d AC w AI ʊ AM l AD f BB
aare	ɑː AL ɹ AB ə AK
aarhus	ɔː AN h AA uː AN s AH
aaron	ɛ AK ə AK ɹ AB ə AK n AF
aaronic	ɛː AL ɹ AB ɒ AM n AF ɪ AK k AC
aaronical	ɛː AL ɹ AB ɑ AK n AF ɪ AK k AC ə AK l AD
aaronite	e AK ə AK ɹ AB n̩ BE a AK ɪ AK t AC
aarp	e AK ɪ AK e AK ɪ AK ɑː AL p AG iː AL
aasvogel	ɑː AL s AH f BB ə AK ʊ AM ɡ AC ə AK l AD
aatheist	e AK ɪ AK e AK ɪ AK θ AH i AK ɪ AK s AH t AC
ab	æ AK b AG
aba	ə AK b AG ɑː AL
abaca	æ AK b AG ə AK k AC ɑ AK
abacavir	ə AK b AG a AK k AC ə AK v BB ɪ AK ə AK
abaci	æ AK b AG ə AK k AC a AK ɪ AK
abacinate	æ AK b AG æ AK s AH ɪ AK n AF e AK ɪ AK t AC
aback	ə AK b AG æ AK k AC
abackward	ə AK b AG æ AK k AC w AI ə AK d AC
abaco	æ AK b AG ə AK k AC o AM ʊ AM
abacost	æ AK b AG ə AK k AC ɒ AM s AH t AC
abacus	æ AK b AG ə AK k AC ə AK s AH
abaft	ə AK b AG ɑː AL f BB t AC
abaht	ə AK b AG ɑː AL t AC
abaisance	ə AK b AG e AK ɪ AK z AH ə AK n AF s AH
abalone	æ AK b AG ə AK l AD ə AK ʊ AM n AF i AK
abampere	æ AK b AG æ AK m AE p AG ɪ AK ə AK
aband	ə AK b AG æ AK n AF d AC
abandon	ə AK b AG æ AK n AF d AC n̩ BE
abandoned	ə AK b AG æ AK n AF d AC n̩ BE d AC
abandonedly	ə AK b AG æ AK n AF d AC n̩ BE ə AK d AC l AD i AK
abandoner	ə AK b AG æ AK n AF d AC ə AK n AF ə AK
abandonment	ə AK b AG æ AK n AF d AC n̩ BE m AE n̩ BE t AC
abarognosis	æ AK b AG ə AK ɹ AB ə AK ɡ AC n AF ə AK ʊ AM s AH ɪ AK s AH
abart	ə AK b AG ɑː AL t AC
abase	ə AK b AG e AK ɪ AK s AH
abased	ə AK b AG e AK ɪ AK s AH t AC
abasedly	ə AK b AG e AK ɪ AK s AH ɪ AK d AC l AD i AK
abasement	ə AK b AG e AK ɪ AK s AH m AE ə AK n AF t AC
abash	ə AK b AG æ AK ʃ AH
abashed	ə AK b AG æ AK ʃ AH t AC
abashedly	ə AK b AG æ AK ʃ AH ɪ AK d AC l AD i AK
abashedness	ə AK b AG æ AK ʃ AH ɪ AK d AC n AF ɪ AK s AH
abashless	ə AK b AG æ AK ʃ AH l AD ɪ AK s AH
abashment	ə AK b AG æ AK ʃ AH m AE ə AK n AF t AC
abasia	ə AK b AG e AK ɪ AK ʒ AH ə AK
abate	ə AK b AG e AK ɪ AK t AC
abatement	ə AK b AG e AK ɪ AK t AC m AE ə AK n AF t AC
abates	ə AK b AG e AK ɪ AK t AC s AH
abating	ə AK b AG e AK ɪ AK t AC ɪ AK ŋ AF
abatis	æ AK b AG ə AK t AC iː AL
abatised	æ AK b AG ə AK t AC ɪ AK s AH t AC
abattoir	æ AK b AG ə AK t AC w AI ɑː AL ɹ AB
abaza	ə AK b AG ɑː AL z AH ə AK
abba	æ AK b AG ə AK
abbas	ə AK b AG ɑː AL s AH
abbes	ə AK b AG e AK ɪ AK z AH
abbess	æ AK b AG ɪ AK s AH
abbey	æ AK b AG i AK
abbeys	æ AK b AG i AK z AH
abbot	æ AK b AG ə AK t AC
abbots	æ AK b AG ə AK t AC s AH
abbotship	æ AK b AG ə AK t AC ʃ AH ɪ AK p AG
abbreviate	ə AK b AG ɹ AB iː AL v BB i AK e AK ɪ AK t AC
abbreviated	ə AK b AG ɹ AB iː AL v BB i AK e AK ɪ AK t AC ɪ AK d AC
abbreviation	ə AK b AG ɹ AB iː AL v BB i AK e AK ɪ AK ʃ AH ə AK n AF
abbreviator	ə AK b AG ɹ AB iː AL v BB i AK e AK ɪ AK t AC ə AK
abby	æ AK b AG i AK
abc	e AK ɪ AK b AG iː AL s AH iː AL
abcde	æ AK b AG s AH ə AK d AC iː AL
abdabs	æ AK b AG d AC æ AK b AG z AH
abderitism	æ AK b AG d AC ə AK ɹ AB ɪ AK t AC ɪ AK z AH m̩ BD
abdicate	æ AK b AG d AC ɪ AK k AC e AK ɪ AK t AC
abdicated	æ AK b AG d AC ɪ AK k AC e AK ɪ AK t AC ɪ AK d AC
abdication	æ AK b AG d AC ə AK k AC e AK ɪ AK ʃ AH ə AK n AF
abditive	æ AK b AG d AC ɪ AK t AC ɪ AK v BB
abdomen	æ AK b AG d AC ə AK ʊ AM m AE ə AK n AF
abdominal	ə AK b AG d AC ɒ AM m AE ə AK n AF l̩ BF
abdominalia	æ AK b AG d AC ɒ AM m AE ɪ AK n AF e AK ɪ AK l AD i AK ə AK
abdominous	æ AK b AG d AC ɒ AM m AE ə AK n AF ə AK s AH
abduce	ə AK b AG d AC ʒ AH uː AN s AH
abduced	ə AK b AG d AC j AB uː AN s AH t AC
abducted	æ AK b AG d AC ʌ AK k AC t AC ɪ AK d AC
abductee	æ AK b AG d AC ʌ AK k AC t AC iː AL
abduction	ə AK b AG d AC ʌ AK k AC ʃ AH n̩ BE
abe	ə AK b AG i AK
abeam	ə AK b AG iː AL m AE
abear	ə AK b AG ɛː AL
abec	e AK ɪ AK b AG ɛ AK k AC
abecedarian	e AK ɪ AK b AG iː AL s AH iː AL d AC ɛː AL ɹ AB ɪ AK ə AK n AF
abecedary	e AK ɪ AK b AG iː AL s AH iː AL d AC ə AK ɹ AB i AK
abed	ə AK b AG ɛ AK d AC
abegge	ə AK b AG ɛ AK d AC ʒ AH
abel	e AK ɪ AK b AG l̩ BF
abele	ə AK b AG iː AL l AD
abelmosk	e AK ɪ AK b AG ə AK l AD m AE ɒ AM s AH k AC
abelungu	a AK b AG ə AK l AD ʊ AM ŋ AF ɡ AC uː AN
abend	ə AK b AG ɛ AK n AF d AC
aberdare	æ AK b AG ə AK d AC ɛː AL
aberdeen	æ AK b AG ə AK ɹ AB d AC iː AL n AF
aberrant	ə AK b AG ɛ AK ɹ AB n̩ BE t AC
aberuncate	æ AK b AG ə AK ɹ AB ʌ AK ŋ AF k AC e AK ɪ AK t AC
aberystwyth	æ AK b AG ə AK ɹ AB ɪ AK s AH t AC w AI ɪ AK θ AH
abet	ə AK b AG ɛ AK t AC
abets	ə AK b AG ɛ AK t AC s AH
abetted	ə AK b AG ɛ AK t AC ɪ AK d AC
abetting	ə AK b AG ɛ AK t AC ɪ AK ŋ AF
abettor	ə AK b AG ɛ AK t AC ə AK
abeyance	ə AK b AG e AK ɪ AK ə AK n AF s AH
abeyant	ə AK b AG e AK ɪ AK ə AK n AF t AC
abhisheka	ʌ AK b AG ɪ AK ʃ AH e AK ɪ AK k AC ə AK
abhominable	ə AK b AG ɒ AM m AE n AF ɪ AK ə AK b AG ə AK l AD
abhor	ə AK b AG h AA ɔː AN ɹ AB
abhorrence	ə AK b AG h AA ɒ AM ɹ AB n̩ BE t AC s AH
abhorrency	ə AK b AG ɔ AM ɹ AB ɪ AK n AF s AH i AK
abhorrent	ə AK b AG h AA ɒ AM ɹ AB ə AK n AF t AC
abhorrer	ə AK b AG h AA ɔː AN ɹ AB ə AK
abhorrers	æ AK b AG h AA ɔː AN ɹ AB ɚ AK
abide	ə AK b AG a AK ɪ AK d AC
abided	ə AK b AG a AK ɪ AK d AC ə AK d AC
abides	ə AK b AG a AK ɪ AK d AC s AH
abidest	ə AK b AG a AK ɪ AK d AC ɪ AK s AH t AC
abier	ə AK b AG ɪ AK ə AK ɹ AB
abigail	a AK b AG ɪ AK ɡ AC e AK ɪ AK l AD
abilene	æ AK b AG ɪ AK l AD iː AL n AF iː AL
abimelech	ə AK b AG ɪ AK m AE ə AK l AD ɛ AK k AC
abiogenesis	e AK ɪ AK b AG a AK ɪ AK ə AK ʊ AM d AC ʒ AH ɛ AK n AF ə AK s AH ɪ AK s AH
abiraterone	æ AK b AG ɪ AK ɹ AB æ AK t AC ə AK ɹ AB ə AK ʊ AM n AF
abite	ə AK b AG a AK ɪ AK t AC
abitur	æ AK b AG ɪ AK t AC ʊ AM ə AK ɹ AB
abject	æ AK b AG d AC ʒ AH ɛ AK k AC t AC
abjection	æ AK b AG d AC ʒ AH ɛ AK k AC ʃ AH n̩ BE
abjectly	æ AK b AG d AC ʒ AH ɛ AK k AC t AC l AD i AK
abjudication	ə AK b AG d AC ʒ AH uː AN d AC ɪ AK k AC e AK ɪ AK ʃ AH ə AK n AF
abjugate	æ AK b AG d AC ʒ AH ə AK ɡ AC e AK ɪ AK t AC
abjunction	æ AK b AG d AC ʒ AH ʌ AK ŋ AF k AC ʃ AH ə AK n AF
abjunctive	æ AK b AG d AC ʒ AH ʌ AK ŋ AF k AC t AC ɪ AK v BB
abjured	ə AK b AG d AC ʒ AH ʊ AM ə AK d AC
abjurement	ə AK b AG d AC ʒ AH ʊ AM ə AK ɹ AB m AE ə AK n AF t AC
abjures	ə AK b AG d AC ʒ AH ʊ AM ə AK z AH
abjuring	ə AK b AG d AC ʒ AH ʊ AM ɹ AB ɪ AK ŋ AF
ablactate	æ AK b AG l AD æ AK k AC t AC e AK ɪ AK t AC
ablativity	a AK b AG l AD ə AK t AC ɪ AK v BB ɪ AK t AC i AK
abligurition	ə AK b AG l AD ɪ AK ɡ AC j AB ʊ AM ɹ AB ɪ AK ʃ AH ə AK n AF
ablings	e AK ɪ AK b AG l AD ɪ AK n AF z AH
ablood	ə AK b AG l AD ʌ AK d AC
ablude	ə AK b AG l AD uː AN d AC
abluent	æ AK b AG l AD u AM n̩ BE t AC
ablur	ə AK b AG l AD ɜː AL ɹ AB
ablute	ə AK b AG l AD uː AN t AC
ablution	ə AK b AG l AD uː AN ʃ AH n̩ BE
abnegate	æ AK b AG n AF ɪ AK ɡ AC e AK ɪ AK t AC
abnegative	æ AK b AG n AF ɛ AK ɡ AC ə AK t AC ɪ AK v BB
abo	æ AK b AG ə AK ʊ AM
aboard	ə AK b AG ɔː AN d AC
abode	ə AK b AG ə AK ʊ AM d AC
abolish	ə AK b AG ɒ AM l AD ɪ AK ʃ AH
abolished	ə AK b AG ɒ AM l AD ɪ AK ʃ AH t AC
abolitionist	æ AK b AG ə AK l AD ɪ AK ʃ AH n̩ BE ɪ AK s AH t AC
abolitionists	æ AK b AG ə AK l AD ɪ AK ʃ AH n̩ BE ɪ AK s AH t AC s AH
abolla	ə AK b AG ɒ AM l AD ə AK
abomination	ə AK b AG ɑ AK m AE ɪ AK n AF e AK ɪ AK ʃ AH n̩ BE
abominationly	ə AK b AG ɑ AK m AE ɪ AK n AF e AK ɪ AK ʃ AH n̩ BE l AD i AK
abood	ə AK b AG uː AN d AC
aboral	æ AK b AG ɔː AN ɹ AB l̩ BF
aborally	æ AK b AG ɔː AN ɹ AB ə AK l AD i AK
abord	ə AK b AG ɔː AN d AC
abordage	ə AK b AG ɔː AN ɹ AB d AC ɪ AK d AC ʒ AH
aborsement	ə AK b AG ɔː AN ɹ AB s AH m AE ə AK n AF t AC
abort	ə AK b AG ɔː AN t AC
aborted	ə AK b AG ɔ AM r BA t AC ɪ AK d AC
abortee	ə AK b AG ɔː AN ɹ AB t AC i AK
abortive	ə AK b AG ɔː AN t AC ɪ AK v BB
abortorium	æ AK b AG ɔ AM ɹ AB t AC ɔː AN ɹ AB i AK ə AK m AE
abortoriums	æ AK b AG ɔ AM ɹ AB t AC ɔ AM ə AK ɹ AB i AK ə AK m AE z AH
abound	ə AK b AG a AK ʊ AM n AF d AC
abounder	ə AK b AG a AK ʊ AM n AF d AC ɚ AK
above	ə AK b AG ʌ AK v BB
abovementioned	ə AK b AG ʌ AK v BB m AE ɛ AK n AF ʃ AH ə AK n AF d AC
abra	ɑː AL b AG ɹ AB ə AK
abracadabra	a AK b AG ɹ AB ə AK k AC ə AK d AC a AK b AG ɹ AB ə AK
abrade	ə AK b AG ɹ AB e AK ɪ AK d AC
abraham	ɑː AL b AG ɹ AB ə AK h AA æ AK m AE
abrahamic	e AK ɪ AK b AG ɹ AB ə AK h AA æ AK m AE ɪ AK k AC
abraid	ə AK b AG ɹ AB e AK ɪ AK d AC
abrams	e AK ɪ AK b AG ɹ AB ə AK m AE z AH
abrasively	ə AK b AG ɹ AB e AK ɪ AK s AH ɪ AK v BB l AD i AK
abreast	ə AK b AG ɹ AB ɛ AK s AH t AC
abreuvoir	ə AK b AG ɹ AB uː AN v BB w AI ɑː AL ɹ AB
abri	ə AK b AG ɹ AB iː AL
abridge	ə AK b AG ɹ AB ɪ AK d AC ʒ AH
abridged	ə AK b AG ɹ AB ɪ AK d AC ʒ AH d AC
abridgement	ə AK b AG ɹ AB ɪ AK d AC ʒ AH m AE ə AK n AF t AC
abridges	ə AK b AG ɹ AB ɪ AK d AC ʒ AH ɪ AK z AH
abridging	ə AK b AG ɹ AB ɪ AK d AC ʒ AH ɪ AK ŋ AF
abrim	ə AK b AG ɹ AB ɪ AK m AE
abroad	ə AK b AG ɹ AB ɔː AN d AC
abrogate	æ AK b AG ɹ AB ə AK ʊ AM ɡ AC e AK ɪ AK t AC
abrogationist	æ AK b AG ɹ AB ə AK ɡ AC e AK ɪ AK ʃ AH n̩ BE ɪ AK s AH t AC
abs	æ AK b AG z AH
abscise	ə AK b AG s AH a AK ɪ AK z AH
absciss	ə AK b AG s AH ɪ AK s AH
abscissae	æ AK b AG s AH ɪ AK s AH iː AL
absconce	æ AK b AG s AH k AC ɒ AM n AF s AH
abscond	ə AK b AG s AH k AC ɒ AM n AF d AC
absconder	æ AK b AG s AH k AC ɒ AM n AF d AC ɚ AK
abseil	æ AK b AG s AH e AK ɪ AK l AD
absence	æ AK b AG s AH ə AK n̩ BE t AC s AH
absent	æ AK b AG s AH ɛ AK n AF t AC
absenteeism	æ AK b AG s AH ə AK n AF t AC iː AL ɪ AK z AH m̩ BD
absentia	æ AK b AG s AH ɛ AK n AF t AC ʃ AH ə AK
absentment	ə AK b AG s AH ɛ AK n AF t AC m AE ə AK n AF t AC
absinth	æ AK b AG s AH ɪ AK n AF θ AH
absinthe	æ AK b AG s AH ɪ AK n AF θ AH
absist	ə AK b AG s AH ɪ AK s AH t AC
absolute	æ AK b AG s AH ə AK l AD uː AN t AC
