Ⴁ	b AL
Ⴂ	ɡ BD
Ⴍ	ɔ AK
ა	ɑ AJ
ააბარგებს	ɑ AJ ɑ AJ b AL ɑ AJ r BA ɡ BD ɛ AJ b AL s AG
ააგდებს	ɑ AJ ɑ AJ ɡ BD d AH ɛ AJ b AL s AG
ააგიზგიზებს	ɑ AJ ɑ AJ ɡ BD i AJ z AG ɡ BD i AJ z AG ɛ AJ b AL s AG
ააგო	ɑ AJ ɑ AJ ɡ BD ɔ AK
აადვილებს	ɑ AJ ɑ AJ d AH v BE i AJ l AC ɛ AJ b AL s AG
აალებადი	ɑ AJ ɑ AJ l AC ɛ AJ b AL ɑ AJ d AH i AJ
აალებული	ɑ AJ ɑ AJ l AC ɛ AJ b AL u AK l AC i AJ
აამებს	ɑ AJ ɑ AJ m AD ɛ AJ b AL s AG
აბა	ɑ AJ b AL ɑ AJ
აბაზანა	ɑ AJ b AL ɑ AJ z AG ɑ AJ n AE ɑ AJ
აბაზი	ɑ AJ b AL ɑ AJ z AG i AJ
აბაიშვილი	ɑ AJ b AL ɑ AJ i AJ ʃ AG v BE i AJ l AC i AJ
აბაკი	ɑ AJ b AL ɑ AJ kʼ AM i AJ
აბამს	ɑ AJ b AL ɑ AJ m AD s AG
აბანო	ɑ AJ b AL ɑ AJ n AE ɔ AK
აბანოზი	ɑ AJ b AL ɑ AJ n AE ɔ AK z AG i AJ
აბაჟური	ɑ AJ b AL ɑ AJ ʒ AG u AK r BA i AJ
აბარგება	ɑ AJ b AL ɑ AJ r BA ɡ BD ɛ AJ b AL ɑ AJ
აბარებს	ɑ AJ b AL ɑ AJ r BA ɛ AJ b AL s AG
აბატი	ɑ AJ b AL ɑ AJ tʼ BB i AJ
აბგა	ɑ AJ b AL ɡ BD ɑ AJ
აბდაუბდა	ɑ AJ b AL d AH ɑ AJ u AK b AL d AH ɑ AJ
აბედი	ɑ AJ b AL ɛ AJ d AH i AJ
აბეზღებს	ɑ AJ b AL ɛ AJ z AG ɣ BC ɛ AJ b AL s AG
აბელი	ɑ AJ b AL ɛ AJ l AC i AJ
აბელიანი	ɑ AJ b AL ɛ AJ l AC i AJ ɑ AJ n AE i AJ
აბზაცი	ɑ AJ b AL z AG ɑ AJ t AH s AG i AJ
აბზინდა	ɑ AJ b AL z AG i AJ n AE d AH ɑ AJ
აბი	ɑ AJ b AL i AJ
აბიბინებს	ɑ AJ b AL i AJ b AL i AJ n AE ɛ AJ b AL s AG
აბინძურებს	ɑ AJ b AL i AJ n AE d AH z AG u AK r BA ɛ AJ b AL s AG
აბლაბუდა	ɑ AJ b AL l AC ɑ AJ b AL u AK d AH ɑ AJ
აბლაგვებს	ɑ AJ b AL l AC ɑ AJ ɡ BD v BE ɛ AJ b AL s AG
აბლაუტი	ɑ AJ b AL l AC ɑ AJ u AK tʼ BB i AJ
აბმა	ɑ AJ b AL m AD ɑ AJ
აბო	ɑ AJ b AL ɔ AK
აბონემენტი	ɑ AJ b AL ɔ AK n AE ɛ AJ m AD ɛ AJ n AE tʼ BB i AJ
აბონენტი	ɑ AJ b AL ɔ AK n AE ɛ AJ n AE tʼ BB i AJ
აბორიგენი	ɑ AJ b AL ɔ AK r BA i AJ ɡ BD ɛ AJ n AE i AJ
აბრაგი	ɑ AJ b AL r BA ɑ AJ ɡ BD i AJ
აბრაკადაბრა	ɑ AJ b AL r BA ɑ AJ kʼ AM ɑ AJ d AH ɑ AJ b AL r BA ɑ AJ
აბრალებს	ɑ AJ b AL r BA ɑ AJ l AC ɛ AJ b AL s AG
აბრამი	ɑ AJ b AL r BA ɑ AJ m AD i AJ
აბრამიშვილი	ɑ AJ b AL r BA ɑ AJ m AD i AJ ʃ AG v BE i AJ l AC i AJ
აბრევი	ɑ AJ b AL r BA ɛ AJ v BE i AJ
აბრევიატურა	ɑ AJ b AL r BA ɛ AJ v BE i AJ ɑ AJ tʼ BB u AK r BA ɑ AJ
აბრეშუმი	ɑ AJ b AL r BA ɛ AJ ʃ AG u AK m AD i AJ
აბრუნებს	ɑ AJ b AL r BA u AK n AE ɛ AJ b AL s AG
აბრძანდება	ɑ AJ b AL r BA d AH z AG ɑ AJ n AE d AH ɛ AJ b AL ɑ AJ
აბსოლუტიზმი	ɑ AJ b AL s AG ɔ AK l AC u AK tʼ BB i AJ z AG m AD i AJ
აბსოლუტურად	ɑ AJ b AL s AG ɔ AK l AC u AK tʼ BB u AK r BA ɑ AJ d AH
აბსოლუტური	ɑ AJ b AL s AG ɔ AK l AC u AK tʼ BB u AK r BA i AJ
აბსტრაქტულად	ɑ AJ b AL s AG tʼ BB r BA ɑ AJ kʰ AB tʼ BB u AK l AC ɑ AJ d AH
აბსტრაქტული	ɑ AJ b AL s AG tʼ BB r BA ɑ AJ kʰ AB tʼ BB u AK l AC i AJ
აბსტრაქცია	ɑ AJ b AL s AG tʼ BB r BA ɑ AJ kʰ AB t AH s AG i AJ ɑ AJ
აბსურდულად	ɑ AJ b AL s AG u AK r BA d AH u AK l AC ɑ AJ d AH
