ก	k ɔː AG k a AD j AB
กก	k o AF k̚
กกุท	k a AD k u AF t̚
กกุธภัณฑ์	k a AD k u AF t̚ tʰ a AD pʰ a AD n
กง	k o AF ŋ
กงกาง	k o AF ŋ k aː AE ŋ
กงการ	k o AF ŋ k aː AE n
กงล้อ	k o AF ŋ l ɔː AG
กงศุล	k o AF ŋ s u AF n
กงสี	k o AF ŋ s iː AE
กงสุล	k o AF ŋ s u AF n
กงเวียน	k o AF ŋ w AC i AD a̯ n
กฎ	k o AF t̚
กฎข้อบังคับ	k o AF t̚ kʰ ɔː AG b a AD ŋ kʰ a AD p̚
กฎจราจร	k o AF t̚ t ɕ a AD r aː AE t ɕ ɔː AG n
กฎบัตร	k o AF t̚ b a AD t̚
กฎมนเทียรบาล	k o AF t̚ m o AF n tʰ i AD a̯ n b aː AE n
กฎหมาย	k o AF t̚ m aː AE j AB
กฎหมายปกครอง	k o AF t̚ m aː AE j AB p o AF k̚ kʰ r ɔː AG ŋ
กฎหมายมนุษยธรรมระหว่างประเทศ	k o AF t̚ m aː AE j AB m a AD n u AF t̚ s a AD j AB a AD tʰ a AD m r a AD w AC aː AE ŋ p r a AD tʰ eː AE t̚
กฎหมายมหาชน	k o AF t̚ m aː AE j AB m a AD h AA aː AE t ɕʰ o AF n
กฎหมายระหว่างประเทศ	k o AF t̚ m aː AE j AB r a AD w AC aː AE ŋ p r a AD tʰ eː AE t̚
กฎหมายระหว่างประเทศแผนกคดีบุคคล	k o AF t̚ m aː AE j AB r a AD w AC aː AE ŋ p r a AD tʰ eː AE t̚ pʰ a AD n ɛː AE k̚ kʰ a AD d iː AE b u AF k̚ kʰ o AF n
กฎหมายระหว่างประเทศแผนกคดีเมือง	k o AF t̚ m aː AE j AB r a AD w AC aː AE ŋ p r a AD tʰ eː AE t̚ pʰ a AD n ɛː AE k̚ kʰ a AD d iː AE m ɯ AD a̯ ŋ
กฎหมายรัฐธรรมนูญ	k o AF t̚ m aː AE j AB r a AD t̚ tʰ a AD tʰ a AD m m a AD n uː AG n
กฎหมายเหตุ	k o AF t̚ m aː AE j AB h AA eː AE t̚
กฎหมายเอกชน	k o AF t̚ m aː AE j AB ʔ eː AE k̚ k a AD t ɕʰ o AF n
กฎเกณฑ์	k o AF t̚ k eː AE n
กฏ	k o AF t̚
กฐิน	k a AD tʰ i AD n n a AD
กด	k o AF t̚
กดขี่	k o AF t̚ kʰ iː AE
กดดัน	k o AF t̚ d a AD n
กตัญญุตา	k a AD t a AD n j AB u AF t aː AE
กตัญญู	k a AD t a AD n j AB uː AG
กติกา	k a AD t i AD k aː AE
กติกาสัญญา	k a AD t i AD k aː AE s a AD n j AB aː AE
กตเวที	k a AD t a AD w AC eː AE tʰ iː AE
กถา	k a AD tʰ aː AE
กน	k o AF n
กนก	k a AD n o AF k̚
กบ	k ɔː AG b ɔː AG
กบฏ	k a AD b o AF t̚
กบนา	k o AF p̚ n aː AE
กบเลือกนาย	k o AF p̚ l ɯ AD a̯ k̚ n aː AE j AB
กบเหลา	k o AF p̚ l a AD w AC
กบเหลาดินสอ	k o AF p̚ l a AD w AC d i AD n s ɔː AG
กบในกะลา	k o AF p̚ n a AD j AB k a AD l aː AE
กบในกะลาครอบ	k o AF p̚ n a AD j AB k a AD l aː AE kʰ r ɔː AG p̚
กบไสไม้	k o AF p̚ s a AD j AB m aː AE j AB
กม	k o AF m
กร	k ɔː AG n
กรกฎ	k ɔː AG r a AD k o AF t̚
กรกฎา	k a AD r a AD k a AD d aː AE
กรกฎาคม	k a AD r a AD k a AD d aː AE kʰ o AF m
กรง	k r o AF ŋ
กรงขัง	k r o AF ŋ kʰ a AD ŋ
กรงเล็บ	k r o AF ŋ l e AD p̚
กรณี	k ɔː AG r a AD n iː AE
กรณีพิพาท	k ɔː AG r a AD n iː AE pʰ i AD pʰ aː AE t̚
กรด	k r o AF t̚
กรดไขมัน	k r o AF t̚ kʰ a AD j AB m a AD n
กรดไขมันอิ่มตัว	k r o AF t̚ kʰ a AD j AB m a AD n ʔ i AD m t u AF a̯
กรดไขมันไม่อิ่มตัว	k r o AF t̚ kʰ a AD j AB m a AD n m a AD j AB ʔ i AD m t u AF a̯
กรน	k r o AF n
กรม	k r o AF m m a AD
กรมธรรม	k r o AF m m a AD tʰ a AD m
กรมธรรม์	k r o AF m m a AD tʰ a AD n
กรรตุการก	k a AD t̚ t u AF k aː AE r o AF k̚
กรรปุระ	k a AD n p u AF r a AD ʔ
กรรม	k a AD m m a AD
กรรมกร	k a AD m m a AD k ɔː AG n
กรรมการ	k a AD m m a AD k aː AE n
กรรมการก	k a AD m m a AD k aː AE r o AF k̚
กรรมตามสนอง	k a AD m t aː AE m s a AD n ɔː AG ŋ
กรรมวาจก	k a AD m m a AD w AC aː AE t ɕ o AF k̚
กรรมสาร	k a AD m m a AD s aː AE n
กรรมาชีพ	k a AD n m aː AE t ɕʰ iː AE p̚
กรรเชียง	k a AD n t ɕʰ i AD a̯ ŋ
กรรโชก	k a AD n t ɕʰ oː AG k̚
กรรไกร	k a AD n k r a AD j AB
กรรไกรตัดเล็บ	k a AD n k r a AD j AB t a AD t̚ l e AD p̚
กรรไกรเล็ก	k a AD n k r a AD j AB l e AD k̚
กรวด	k r u AF a̯ t̚
กรวย	k r u AF a̯ j AB
กรอ	k r ɔː AG
กรอก	k r ɔː AG k̚
กรอง	k r ɔː AG ŋ
กรอบ	k r ɔː AG p̚
กระ	k r a AD ʔ
กระจก	k r a AD t ɕ o AF k̚
กระจกตา	k r a AD t ɕ o AF k̚ t aː AE
กระจกนาฬิกา	k r a AD t ɕ o AF k̚ n aː AE l i AD k aː AE
กระจกเงา	k r a AD t ɕ o AF k̚ ŋ a AD w AC
กระจง	k r a AD t ɕ o AF ŋ
กระจอก	k r a AD t ɕ ɔː AG k̚
กระจอกเทศ	k r a AD t ɕ ɔː AG k̚ tʰ eː AE t̚
กระจับ	k r a AD t ɕ a AD p̚
กระจับปี่	k r a AD t ɕ a AD p̚ p iː AE
กระจาด	k r a AD t ɕ aː AE t̚
กระจาย	k r a AD t ɕ aː AE j AB
กระจุก	k r a AD t ɕ u AF k̚
กระจุกดาวลูกไก่	k r a AD t ɕ u AF k̚ d aː AE w AC l uː AG k̚ k a AD j AB
กระชอน	k r a AD t ɕʰ ɔː AG n
กระชาก	k r a AD t ɕʰ aː AE k̚
กระชาย	k r a AD t ɕʰ aː AE j AB
กระซิบ	k r a AD s i AD p̚
กระซู่	k r a AD s uː AG
กระดอ	k r a AD d ɔː AG
กระดอง	k r a AD d ɔː AG ŋ
กระดังงา	k r a AD d a AD ŋ ŋ aː AE
กระดาน	k r a AD d aː AE n
กระดานชนวน	k r a AD d aː AE n t ɕʰ a AD n u AF a̯ n
กระดานดำ	k r a AD d aː AE n d a AD m
กระดานถีบ	k r a AD d aː AE n tʰ iː AE p̚
กระดานลื่น	k r a AD d aː AE n l ɯː AE n
กระดานหก	k r a AD d aː AE n h AA o AF k̚
กระดานหมากรุก	k r a AD d aː AE n m aː AE k̚ r u AF k̚
กระดานโต้คลื่น	k r a AD d aː AE n t oː AG kʰ l ɯː AE n
กระดานไฟ	k r a AD d aː AE n f a AD j AB
กระดาษ	k r a AD d aː AE t̚
กระดาษชำระ	k r a AD d aː AE t̚ t ɕʰ a AD m r a AD ʔ
กระดาษทราย	k r a AD d aː AE t̚ s aː AE j AB
กระดาษทิชชู	k r a AD d aː AE t̚ tʰ i AD t̚ t ɕʰ uː AG
กระดาษเงินกระดาษทอง	k r a AD d aː AE t̚ ŋ ɤː AE n k r a AD d aː AE t̚ tʰ ɔː AG ŋ
กระดาษเช็ดปาก	k r a AD d aː AE t̚ t ɕʰ e AD t̚ p aː AE k̚
กระดาษแก้ว	k r a AD d aː AE t̚ k ɛː AE w AC
กระดาษแข็ง	k r a AD d aː AE t̚ kʰ ɛ AD ŋ
กระดิก	k r a AD d i AD k̚
กระดิ่ง	k r a AD d i AD ŋ
กระดี่ได้น้ำ	k r a AD d iː AE d a AD j AB n aː AE m
กระดึ๊บ	k r a AD d ɯ AD p̚
กระดุม	k r a AD d u AF m
กระดูก	k r a AD d uː AG k̚
กระดูกค้อน	k r a AD d uː AG k̚ kʰ ɔː AG n
กระดูกงู	k r a AD d uː AG k̚ ŋ uː AG
กระดูกซี่โครง	k r a AD d uː AG k̚ s iː AE kʰ r oː AG ŋ
กระดูกต้นขา	k r a AD d uː AG k̚ t o AF n kʰ aː AE
กระดูกต้นแขน	k r a AD d uː AG k̚ t o AF n kʰ ɛː AE n
กระดูกทั่ง	k r a AD d uː AG k̚ tʰ a AD ŋ
กระดูกน่อง	k r a AD d uː AG k̚ n ɔ AF ŋ
กระดูกสะบัก	k r a AD d uː AG k̚ s a AD b a AD k̚
กระดูกสันหลัง	k r a AD d uː AG k̚ s a AD n l a AD ŋ
กระดูกสันอก	k r a AD d uː AG k̚ s a AD n ʔ o AF k̚
กระดูกอ่อน	k r a AD d uː AG k̚ ʔ ɔː AG n
กระดูกเชิงกราน	k r a AD d uː AG k̚ t ɕʰ ɤː AE ŋ k r aː AE n
กระดูกแข้ง	k r a AD d uː AG k̚ kʰ ɛ AD ŋ
กระดูกโกลน	k r a AD d uː AG k̚ k l oː AG n
กระดูกโหนกแก้ม	k r a AD d uː AG k̚ n oː AG k̚ k ɛː AE m
กระดูกโอบอก	k r a AD d uː AG k̚ ʔ oː AG p̚ ʔ o AF k̚
กระดูกไหปลาร้า	k r a AD d uː AG k̚ h AA a AD j AB p l aː AE r aː AE
กระด้ง	k r a AD d o AF ŋ
กระด้าง	k r a AD d aː AE ŋ
กระติก	k r a AD t i AD k̚
กระตือรือร้น	k r a AD t ɯː AE r ɯː AE r o AF n
กระตือรือล้น	k r a AD t ɯː AE r ɯː AE l o AF n
กระตุก	k r a AD t u AF k̚
กระตุกหนวดเสือ	k r a AD t u AF k̚ n u AF a̯ t̚ s ɯ AD a̯
กระตุ้น	k r a AD t u AF n
กระต่าย	k r a AD t aː AE j AB
กระต่ายตื่นตูม	k r a AD t aː AE j AB t ɯː AE n t uː AG m
กระต่ายป่า	k r a AD t aː AE j AB p aː AE
กระต่ายหมายจันทร์	k r a AD t aː AE j AB m aː AE j AB t ɕ a AD n
กระต๊อบ	k r a AD t ɔ AF p̚
กระถาง	k r a AD tʰ aː AE ŋ
กระถางดอกไม้	k r a AD tʰ aː AE ŋ d ɔː AG k̚ m aː AE j AB
กระถางต้นไม้	k r a AD tʰ aː AE ŋ t o AF n m aː AE j AB
กระทง	k r a AD tʰ o AF ŋ
กระทบ	k r a AD tʰ o AF p̚
กระทรวง	k r a AD s u AF a̯ ŋ
กระทรวงศึกษาธิการ	k r a AD s u AF a̯ ŋ s ɯ AD k̚ s aː AE tʰ i AD k aː AE n
กระทะ	k r a AD tʰ a AD ʔ
กระทะทองแดง	k r a AD tʰ a AD tʰ ɔː AG ŋ d ɛː AE ŋ
กระทะใบบัว	k r a AD tʰ a AD b a AD j AB b u AF a̯
กระทัดรัด	k r a AD tʰ a AD t̚ r a AD t̚
กระทันหัน	k r a AD tʰ a AD n h AA a AD n
กระทา	k r a AD tʰ aː AE
กระทำ	k r a AD tʰ a AD m
กระทิง	k r a AD tʰ i AD ŋ
กระทืบ	k r a AD tʰ ɯː AE p̚
กระทุง	k r a AD tʰ u AF ŋ
กระทู้	k r a AD tʰ uː AG
กระทู้ถาม	k r a AD tʰ uː AG tʰ aː AE m
กระท่อม	k r a AD tʰ ɔ AF m
กระท้อน	k r a AD tʰ ɔː AG n
กระนั้น	k r a AD n a AD n
กระบถ	k r a AD b o AF t̚
กระบวน	k r a AD b u AF a̯ n
กระบวนการ	k r a AD b u AF a̯ n k aː AE n
กระบวนพิจารณา	k r a AD b u AF a̯ n pʰ i AD t ɕ aː AE r a AD n aː AE
กระบวย	k r a AD b u AF a̯ j AB
กระบอก	k r a AD b ɔː AG k̚
กระบอกฉีดยา	k r a AD b ɔː AG k̚ t ɕʰ iː AE t̚ j AB aː AE
กระบอกเสียง	k r a AD b ɔː AG k̚ s i AD a̯ ŋ
กระบอง	k r a AD b ɔː AG ŋ
กระบองเพชร	k r a AD b ɔː AG ŋ pʰ e AD t̚
กระบะ	k r a AD b a AD ʔ
กระบะทราย	k r a AD b a AD s aː AE j AB
กระบี่	k r a AD b iː AE
กระบี่กระบอง	k r a AD b iː AE k r a AD b ɔː AG ŋ
กระบือ	k r a AD b ɯː AE
กระบุง	k r a AD b u AF ŋ
กระปรี้กระเปร่า	k r a AD p r iː AE k r a AD p r a AD w AC
กระปี๋	k r a AD p iː AE
กระปุก	k r a AD p u AF k̚
กระปุกหมู	k r a AD p u AF k̚ m uː AG
กระปุกออมสิน	k r a AD p u AF k̚ ʔ ɔː AG m s i AD n
กระป๋อง	k r a AD p ɔ AF ŋ
กระผม	k r a AD pʰ o AF m
กระพริบ	k r a AD pʰ r i AD p̚
กระพัง	k r a AD pʰ a AD ŋ
กระพัน	k r a AD pʰ a AD n
กระมัง	k r a AD m a AD ŋ
กระยาง	k r a AD j AB aː AE ŋ
กระยาหาร	k r a AD j AB aː AE h AA aː AE n
กระรอก	k r a AD r ɔː AG k̚
กระรอกบิน	k r a AD r ɔː AG k̚ b i AD n
กระลาโหม	k r a AD l aː AE h AA oː AG m
กระษัตร	k r a AD s a AD t̚ t r a AD
กระษัตริย์	k r a AD s a AD t̚
กระษัตรี	k r a AD s a AD t̚ t r iː AE
กระสวน	k r a AD s u AF a̯ n
กระสวย	k r a AD s u AF a̯ j AB
กระสวยอวกาศ	k r a AD s u AF a̯ j AB ʔ a AD w AC a AD k aː AE t̚
กระสอบ	k r a AD s ɔː AG p̚
กระสะ	k r a AD s a AD ʔ
กระสา	k r a AD s aː AE
กระสาบ	k r a AD s aː AE p̚
กระสาย	k r a AD s aː AE j AB
กระสือ	k r a AD s ɯː AE
กระสุน	k r a AD s u AF n
กระหนก	k r a AD n o AF k̚
กระหม่อม	k r a AD m ɔ AF m
กระหรี่	k r a AD r iː AE
กระหล่ำ	k r a AD l a AD m
กระหวัด	k r a AD w AC a AD t̚
กระหาย	k r a AD h AA aː AE j AB
กระอัก	k r a AD ʔ a AD k̚
กระเจี๊ยบ	k r a AD t ɕ i AD a̯ p̚
กระเจี๊ยบมอญ	k r a AD t ɕ i AD a̯ p̚ m ɔː AG n
กระเจี๊ยว	k r a AD t ɕ i AD a̯ w AC
กระเชา	k r a AD t ɕʰ a AD w AC
